FarmName,Location,UserID
Green Valley,"123 Green Valley Rd, Springfield",9
Eco Paradise,"456 Hydroponic Ln, Greenville",4
Urban Oasis,"789 Urban Harvest St, Metropolis",2
Fresh Roots Farm,"101 Eco Haven Ave, Riverdale",1
Hydro Haven,"202 Fresh Roots Blvd, Sunnydale",7
Harvest Central,"303 Sustainable Farm Way, Brookside",13
Future AgriTech,"404 Nature's Basket Dr, Hilltown",9
Nature's Basket,"505 Hydro Central Ct, Laketown",3
Green Fields,"606 Sprout Growers Rd, Meadowville",13
Blooming Farm,"707 Aquaponic Acres Dr, Plainsville",12
Aquaponic Acres,"808 Green Thumb Ln, Forestville",12
Sprout Space,"909 Blooming Horizon St, Ridgewood",8
Green Thumb Co.,"111 Future AgriTech Blvd, Newburg",3
Hydro Growers,"222 Hydro Hub Ave, Clearview",5
Sustainable Sprouts,"333 Harvest Central Rd, Bridgewater",9
