FarmName,PlantName,HarvestDate,Quantity
Hydro Haven,Sage,2023-09-05,13.9
Green Valley,Parsley,2023-01-18,87.18
Green Valley,Cranberries,2023-03-09,90.13
Hydro Growers,Beets,2023-09-22,13.8
Urban Oasis,Pumpkin,2023-01-24,14.23
Harvest Central,Basil,2023-05-21,47.58
Sustainable Sprouts,Kale,2023-06-27,3.18
Green Thumb Co.,Oregano,2023-05-03,88.1
Urban Oasis,Strawberries,2023-11-10,85.27
Hydro Haven,Blackberries,2023-07-17,11.5
Green Valley,Asparagus,2023-09-16,92.38
Aquaponic Acres,Peas,2023-06-03,2.88
Hydro Growers,Carrot,2023-01-21,99.62
Blooming Farm,Asparagus,2023-08-04,52.17
Future AgriTech,Beets,2023-02-14,29.14
Nature's Basket,Raspberries,2023-11-21,77.88
Green Valley,Dill,2023-01-07,80.14
Harvest Central,Sage,2023-12-01,73.49
Hydro Haven,Peas,2023-12-21,40.01
Green Fields,Pumpkin,2023-09-27,89.41
Eco Paradise,Chives,2023-10-14,10.71
Urban Oasis,Thyme,2023-09-22,25.97
Aquaponic Acres,Chard,2023-05-26,56.08
Eco Paradise,Escarole,2023-04-12,1.68
Green Valley,Zucchini,2023-12-08,98.02
Future AgriTech,Fennel,2023-04-16,53.8
Blooming Farm,Celery,2023-05-05,8.49
Sustainable Sprouts,Gooseberries,2023-06-06,68.27
Blooming Farm,Watercress,2023-02-27,85.45
Green Thumb Co.,Raspberries,2023-07-02,5.67
Hydro Growers,Watercress,2023-09-27,91.16
Green Fields,Peas,2023-09-28,63.13
Fresh Roots Farm,Turnips,2023-03-07,89.3
Hydro Growers,Watercress,2023-01-25,91.61
Fresh Roots Farm,Asparagus,2023-05-12,63.32
Sprout Space,Carrot,2023-07-05,70.01
Eco Paradise,Arugula,2023-05-14,4.86
Urban Oasis,Chard,2023-08-13,80.96
Green Thumb Co.,Cilantro,2023-04-07,53.11
Hydro Growers,Lettuce,2023-05-20,82.4
Sprout Space,Tomatoes,2023-12-04,83.05
Future AgriTech,Cauliflower,2023-06-17,94.3
Green Fields,Endive,2023-09-28,3.77
Green Valley,Escarole,2023-02-12,77.98
Fresh Roots Farm,Cauliflower,2023-01-05,77.99
Eco Paradise,Zucchini,2023-08-28,60.82
Green Fields,Blueberries,2023-12-07,94.06
Green Thumb Co.,Onions,2023-05-26,55.3
Urban Oasis,Endive,2023-06-07,94.53
Sprout Space,Cucumber,2023-04-13,1.84
Future AgriTech,Celery,2023-07-23,61.3
Green Fields,Green Beans,2023-04-10,55.85
Fresh Roots Farm,Currants,2023-07-10,50.79
Sprout Space,Onions,2023-03-06,29.48
Hydro Haven,Onions,2023-06-26,53.83
Green Thumb Co.,Cauliflower,2023-07-17,27.17
Urban Oasis,Rutabaga,2023-01-21,48.91
Hydro Haven,Zucchini,2023-12-05,80.95
Sustainable Sprouts,Broccoli,2023-01-21,30.14
Green Valley,Rosemary,2023-02-17,20.93
Hydro Growers,Cranberries,2023-08-08,68.87
Green Thumb Co.,Mint,2023-12-04,73.21
Hydro Haven,Arugula,2023-02-16,82.47
Blooming Farm,Cauliflower,2023-12-04,30.66
Sustainable Sprouts,Artichoke,2023-05-20,69.16
Sustainable Sprouts,Zucchini,2023-01-16,42.24
Hydro Growers,Okra,2023-05-08,49.21
Blooming Farm,Kale,2023-05-08,7.64
Sustainable Sprouts,Tomatoes,2023-01-13,45.65
Green Valley,Broccoli,2023-12-07,55.71
Blooming Farm,Spinach,2023-10-05,92.71
Blooming Farm,Peppers,2023-11-07,27.15
Blooming Farm,Cilantro,2023-10-16,2.1
Fresh Roots Farm,Oregano,2023-07-14,86.26
Hydro Growers,Raspberries,2023-04-13,67.07
Green Valley,Blackberries,2023-03-20,62.06
Aquaponic Acres,Broccoli,2023-06-04,48.29
Hydro Haven,Basil,2023-12-24,31.77
Hydro Haven,Blueberries,2023-01-18,22.16
Fresh Roots Farm,Peas,2023-05-27,20.86
Urban Oasis,Beets,2023-03-21,18.82
Fresh Roots Farm,Sweet Corn,2023-06-21,22.34
Future AgriTech,Garlic,2023-12-21,4.39
Green Thumb Co.,Chives,2023-01-01,70.77
Hydro Growers,Cauliflower,2023-06-01,32.27
Hydro Haven,Lettuce,2023-05-03,78.27
Future AgriTech,Cauliflower,2023-07-04,63.58
Sustainable Sprouts,Parsley,2023-12-26,91.08
Green Valley,Tomatoes,2023-09-02,95.48
Hydro Growers,Raspberries,2023-08-16,60.46
Fresh Roots Farm,Arugula,2023-06-06,87.95
Fresh Roots Farm,Turnips,2023-03-07,13.52
Nature's Basket,Squash,2023-12-07,2.59
Green Fields,Broccoli,2023-09-12,3.66
Fresh Roots Farm,Raspberries,2023-05-10,24.59
Harvest Central,Thyme,2023-02-08,69.84
Future AgriTech,Raspberries,2023-04-19,9.58
Sustainable Sprouts,Zucchini,2023-10-08,87.82
Eco Paradise,Asparagus,2023-01-16,24.19
Hydro Haven,Turnips,2023-04-14,21.05
